Name,Formulations,Class,Condition,Dose,Notes,MOA,Warnings,Cost,Color,CommonlyUsed
Idoxuridine,"ophthalmic solution,ophthalmic ointment",Topical Antiviral,Feline Herpes,q4-6h,"* Has to be ordered from a compounding pharmacy (0.5-1%) solution or ophthalmic ointment
* Anecdotally well tolerated by cats but needs to be given frequently",* Is a thymidine analogue that works through competitive inhibition which prevents viral DNA replication,,$$,,Uncommon
Trifluridine,ophthalmic solution,Topical Antiviral,Feline Herpes,q4-6h,"* Commercially available but expensive
* Has to be given frequently - 4-6 times per day",* Is a thymidine analogue that works through competitive inhibition which prevents viral DNA replication,* Expensive and anecdotally may not be well tolerated by some cats,$$$,,Uncommon
Famciclovir,oral tablet,Oral Anti-Viral,Feline Herpes,90 mg/kg PO TID,"* For an average size 10 lb cat - works out to be about a 500 mg tablet orally three times daily
* This is a very large tablet to try to give a cat, so generally the author will start with a 250 mg tablet (or half a 500) and if signs do not improve over a 2-4 week course, go to a higher dose or consider co-administration with cidofovir
* Probably the most actively studied antiviral in cats","* Is converted to a guanosine analog which competitively inhibits viral replication
* A high dose is needed in cats due to limited availability of the enzymes required to convert famciclovir to its active form, penciclovir",* Side effects can occur (10/59 [17%] cats in one study) and are usually gastrointestinal (e.g. diarrhea or inappetence) and resolve after discontinuing ,$$,,Common
Natamycin,ophthalmic solution,Topical Anti-fungal,Fungal keratitis,q2h-BID,"* Only anti-fungal labeled for ocular use (5% ophthalmic suspension)
* Good for filamentous fungi
* Limited corneal penetration so efficacy in fungal corneal abscesses may be limited",* Polyene - binds to ergosterol in fungal cell membranes to form complexes that result in leakage from the fungal cell,"* Fairly safe medication but not for wallets
* Viscosity may make injection through an SPL harder than other solutions",$$$,,Common
Amphotericin B,ophthalmic solution,Topical Anti-fungal,Fungal keratitis,"q2h-6h topically, q48h x 3 doses (subconj)","* Broad spectrum anti-fungal but no specific topical formulation
* Good against yeast and filamentous fungi
* Can reconstitute (use sterile water not saline) solution into a 0.15% form (can do higher concentrations but can be irritating) for topical use 
* If you do create this form, protect from light and keep it in the fridge and it will be good for at least 7 days
* Can be used topically (usually through an SPL) or injected subconjunctivally or with proper expertise, injected intrastromally
* Is thick and viscous so may accumulate in deeper ulcers prolonging contact time; ",* Polyene - binds to ergosterol in fungal cell membranes to form complexes that result in leakage from the fungal cell,"* Anecdotally can induce a fair amount of local irritation/inflammation when given subconjunctivally
* Concentrations above 0.3% reported to be irritating (in literature, reports of going up as high as 3% though)",$$-$$$,,Common
Miconazole ,ophthalmic solution,Topical Anti-fungal,Fungal keratitis,q2h-BID,"* Can either be compounded into a 1% ophthalmic solution or can utilize (obviously off-label) 2% vaginal cream
* Variable efficacy reported in the literature for Aspergillus and Fusarium in vitro","* Azole - fungistatic, inhibits ergosterol synthesis","* In lab culture, has been shown to slow or alter keratocyte growth",$-$$,,Common
Silver sulfadiazine,"topical ointment,injectable",Topical Anti-fungal,Fungal keratitis,q2h (in beginning)-BID,"* Technically broad spectrum against bacteria and fungi usually used for skin application but is safe for cornea and conjunctival use as well
* Recent study showed good efficacy in vitro against fungal isolates seen in horses
* Clearly states on the packaging ""NOT FOR OPHTHALMIC USE"" so definitely off-label; recommend obtaining consent for use and potentially avoiding in cases where lawyers could be involved
* Main benefit is cost; could be beneficial in early cases of keratitis or infection",* No one is really sure how/why the SSD works although silver is biocidal with a wide range of effects on cellular metabolism,"* Can cause bluish change to skin/sclera (discontinue if seen) and be irritating
* Do not put in SPL
* Does not need to be refrigerated",$,,Common
Voriconazole,ophthalmic solution,Topical Anti-fungal,Fungal keratitis,q2-4h,"* No commercial eye product, usually reconstituted from the IV form - 19 mL of sterile water in 200 mg vial to create 1% solution, refrigerate and discard after 1 month
* Oral use has good bioavailability however dosing in horses is usually cost prohibitive
* In vitro study found to be more effective in southern and midwestern US than some other antifungals",* Azole - inhibits ergosterol synthesis which effect cell membrane synthesis,* Most adverse effects are reported in people and not horses - include dermatologic reactions or photosensitivity of the skin,Jeff Bezos,,Uncommon
Cyclosporine,ophthalmic solution,"Topical Immune-modulatory,Topical Lacromimetic ","Keratoconjunctivitis sicca (KCS/Dry Eye),Non-ulcerative Keratitis,Eosinophilic keratitis",q6-24h,"* The active ingredient in optimmune which is a 0.2% concentration of it
* Commonly compounded into 1-2% formulations which are handy for more severe cases
* Used primarily for treatment of KCS (immune-mediated lacrimal adenitis) but is also used for immune-mediated keratitis (sometimes as a monotherapy, sometimes in conjunction with topical steroids)
* Dosing for KCS is usually BID-TID initially, for immune mediated disease may be more frequent depending on severity","* Complicated mechanism of action that ultimately results in the prevention of transcription for IL-2, a T-Cell interleukin
* Inhibition results in less IL-2 with less T-cell activation","* Does not penetrate well through intact epithelium (so topical use for uveitis is not indicated)
* Control of significant keratitis might require use of steroids initially
* If compounded, is usually placed in a lipid vehicle to which some animals may be sensitive to, can try switching vehicles if this is suspected",$-$$,,Common
Tacrolimus,ophthalmic solution,"Topical Immune-modulatory,Topical Lacromimetic ","Keratoconjunctivitis sicca (KCS/Dry Eye),Non-ulcerative Keratitis,Eosinophilic keratitis",q6-24h,"* Similar to cyclosporine in the indications for use
* No commercial product so has to be compounded in a 0.01-0.03% solution (lesser concentration compared to Cyclosporine is due to increased potency)
* Used primarily for treatment of KCS (immune-mediated lacrimal adenitis) but is also used for immune-mediated keratitis (sometimes as a monotherapy, sometimes in conjunction with topical steroids)
* Dosing for KCS is usually BID-TID initially, for immune mediated disease may be more frequent depending on severity","* Complicated mechanism of action that ultimately results in the prevention of transcription for IL-2, a T-Cell interleukin (in a different manner to cyclosporine but similar effects)
* Inhibition results in less IL-2 with less T-cell activation","* Does not penetrate well through intact epithelium (so topical use for uveitis is not indicated)
* Control of significant keratitis might require use of steroids initially
* If compounded, is usually placed in a lipid vehicle to which some animals may be sensitive to, can try switching vehicles if this is suspected
* Can also be compounded into an aqueous (not lipid) formula which may be better tolerated ",$$,,Common
Pimecrolimus,ophthalmic solution,"Topical Immune-modulatory,Topical Lacromimetic ","Keratoconjunctivitis sicca (KCS/Dry Eye),Non-ulcerative Keratitis,Eosinophilic keratitis",q6-24h,"* Pronounced ""pee-mek-rowe-li-mus""
* Similar to cyclosporine/tacro in the indications for use
* No commercial product so has to be compounded in a 1% solution
* Used primarily for treatment of KCS (immune-mediated lacrimal adenitis) but also has evidence of effective in cases of pannus as well
* Dosing is usually BID
* Isn't broadly used because it's newer and not many compounding pharmacies carry it but could be an option if cyclosporine/tacrolimus not well tolerated","* Complicated mechanism of action that ultimately results in the prevention of transcription for IL-2, a T-Cell interleukin (in a similar manner to tacrolimus)
* Inhibition results in less IL-2 with less T-cell activation","* Does not penetrate well through intact epithelium (so topical use for uveitis is not indicated)
* Control of significant keratitis might require use of steroids initially
* If compounded, is usually placed in a lipid vehicle to which some animals may be sensitive to, can try switching vehicles if this is suspected",$$,,Uncommon
Serum,biologic product,Anti-collagenase,"Infected Ulcer,Melting corneal ulcer,Fungal keratitis,Stromal ulcer",q2-12h,"* Serum or plasma is used for its anti-collagenase components (macrogloblins)
* The main indication is to reduce or stop enzymatic degradation of the cornea (melting or stromal loss) from endogenous or exogenous matrix metalloproteinases (MMPs) 
* Frequency depends on severity of melting or stromal loss - if aggressive do q1-2 hours acutely and then taper as condition stabilizes
* Can be made from an animal's own blood (draw, spin down, place in syringes) or can used ""banked"" serum from other animals or banked commercial plasma; can also use serum from another species - e.g. horse serum on dogs
* Freeze for storage and then thaw and place in fridge with active use","* Contains alpha2-macroglobulins that will bind and inactivate collagenases
* Serum also contains other beneficial compounds (growth factors, etc.) but the effect of these factors on corneal wound healing is limited in the veterinary literature and probably fall into the ""can't hurt might help"" category when used with ulcers that don't have a major collagenase component","* Keep frozen when not in use (can bank in clinic)
* Discard after prolonged storage - just how long they can be kept is unknown; a study looking at efficacy of frozen serum found no decrease in efficacy for up to 6 months",$,,Common
EDTA,"ophthalmic solution,ophthalmic ointment","Chelator,Anti-collagenase","Calcific corneal degeneration,Melting corneal ulcer",q6-24h,"* No commercial eye product so has to be compounded into a 0.2-2% solution or ointment
* Mostly used for calcific keratopathy or degeneration and potentially for melting ulcers","* Chelates Ca2+ and Zn2+, cofactors for collagenase activity thereby preventing activation of those enzymes",* Higher concentrations can be irritating to the eye so usually the author will do up to a 1% topically when applying at home; some dogs may still not like it so warn owners to watch carefully after application and stop any rubbing after giving,$$,,Common
"Ketorolac 0.4%, 0.5%",ophthalmic solution,Topical Non-steroidal Anti-inflammatory (NSAID),"Uveitis,Allergic conjunctivitis",q6-24h,"* Indicated for control of mild-moderate uveitis but has been show in off-label studies in people to be beneficial for allergic conjunctivitis at a QID dosing (this is in people but can try for dogs)
* Indicated for control of mild-moderate uveitis
* Few direct comparisons of topical NSAIDs in the veterinary world have been performed (gluts of research in people in contrast); varying methods and concentrations make direct comparisons difficult
* To the author's knowledge, little to no studies on clinical efficacy in veterinary patients for the topical form of ketorolac",* Nonspecific COX1 and COX2 inhibitor with resultant prostaglandin inhibition (and all the good/bad things associated with it),"* Topical NSAIDS can result in ulcers in some patients as well as delay corneal wound healing (shown in vitro)
* While it's unclear how much topical NSAIDS contribute to ulceration or slowing down of healing, the author will avoid use of topical NSAIDS in ulcerative keratitis and halt its usage with ulceration
* Per the drug insert, ketorolac may affect thrombocyte aggregation which may cause increased bleeding; potentially avoid use in hyphema cases",$-$$,Gray,Common
Flurbiprofen 0.03%,ophthalmic solution,Topical Non-steroidal Anti-inflammatory (NSAID),Uveitis,q6-24h,"* Indicated for control of mild-moderate uveitis
* Few direct comparisons of topical NSAIDs in the veterinary world have been performed (gluts of research in people in contrast); varying methods and concentrations make direct comparisons difficult
* In cats, one study suggested diclofenac was the better NSAID compared to flurbiprofen 
* In dogs, there have been a number of studies from the late 1990s that have shown efficacy for controlling uveitis but how these compare to newer NSAIDs is less clear",* Nonspecific COX1 and COX2 inhibitor with resultant prostaglandin inhibition (and all the good/bad things associated with it),"* Topical NSAIDS can result in ulcers in some patients as well as delay corneal wound healing (shown in vitro)
* While it's unclear how much topical NSAIDS contribute to ulceration or slowing down of healing, the author will avoid use of topical NSAIDS in ulcerative keratitis and halt its usage with ulceration
* One study in cats showed increased IOP with use of flurbiprofen compared to control (so be mindful of use if ocular hypertension is a comorbidity)",$-$$,Gray,Common
Diclofenac 0.3%,ophthalmic solution,Topical Non-steroidal Anti-inflammatory (NSAID),Uveitis,q6-24h,"* Indicated for control of mild-moderate uveitis
* Few direct comparisons of topical NSAIDs in the veterinary world have been performed (gluts of research in people in contrast); varying methods and concentrations make direct comparisons difficult
* In cats, one study suggested diclofenac was the better NSAID compared to flurbiprofen 
* In dogs, a similar findings were noted in 1 study but the difference was small and a 1% solution was used (commercially a 0.3% solution is available).",* Nonspecific COX1 and COX2 inhibitor with resultant prostaglandin inhibition (and all the good/bad things associated with it),"* Topical NSAIDS can result in ulcers in some patients as well as delay corneal wound healing (shown in vitro)
* While it's unclear how much topical NSAIDS contribute to ulceration or slowing down of healing, the author will avoid use of topical NSAIDS in ulcerative keratitis and halt its usage with ulceration
* One study in cats showed increased IOP with use of diclofenac compared to control (so be mindful of use if ocular hypertension is a comorbidity)",$-$$,Gray,Common
Bromfenac 0.9%,ophthalmic solution,Topical Non-steroidal Anti-inflammatory (NSAID),Uveitis,q6-24h,"* Indicated for control of mild-moderate uveitis
* Few direct comparisons of topical NSAIDs in the veterinary world have been performed (gluts of research in people in contrast); varying methods and concentrations make direct comparisons difficult
* Has been studied in dogs in the context of post-cataract surgery pressures and inflammation which showed potential risk of increased IOP post-phaco; anti-inflammatory effects comparable with prednisolone acetate 1 week+ post-operatively (immediately after seemed to have less control of post-op uveitis)","* Bromfenac is unique in that it's more COX2 specific compared to its other topical NSAID friends
* Has good penetrance through cornea into intraocular tissues","* Topical NSAIDS can result in ulcers in some patients as well as delay corneal wound healing (shown in vitro)
* While it's unclear how much topical NSAIDS contribute to ulceration or slowing down of healing, the author will avoid use of topical NSAIDS in ulcerative keratitis and halt its usage with ulceration
* One study in cats showed increased IOP with use of diclofenac compared to control (so be mindful of use if ocular hypertension is a comorbidity)",$$,Gray,Uncommon
Nepafenac 0.1%,ophthalmic solution,Topical Non-steroidal Anti-inflammatory (NSAID),Uveitis,q8h,"* Indicated for control of mild-moderate uveitis
* No studies on efficacy in veterinary patients",* Nepfanac is only pro-drug NSAID availalbe - is converted to active form (amfenac) by ocular tissues which then exerts anti-inflammatory function (COX1 & COX2 inhibition),"* Topical NSAIDS can result in ulcers in some patients as well as delay corneal wound healing (shown in vitro)
* While it's unclear how much topical NSAIDS contribute to ulceration or slowing down of healing, the author will avoid use of topical NSAIDS in ulcerative keratitis and halt its usage with ulceration
* One study in cats showed increased IOP with use of diclofenac compared to control (so be mindful of use if ocular hypertension is a comorbidity)
* Nepafenac is stupid expensive",Jeff Bezos,Gray,Uncommon
Prednisolone acetate 1%,ophthalmic solution,Topical Steroid Anti-inflammatory,"Uveitis,Conjunctivitis,Non-ulcerative Keratitis",q6-24h,"* A commonly used topical corticosteroid for inflammatory diseases of the eye
* Penetration with the acetate formulation is superior compared to other corticosteroids; particularly useful for anterior uveitis
* Has a relative strength of 4 compared to hydrocortisone (1) and dexamethasone (25) 
* Dosing is typically based on severity of disease with regular monitoring to assess response","* Broad and significant effects on transcription of anti-inflammatory or pro-inflammatory genes as well as direct affects on cell mediators and receptors
* Indirectly inhibits arachidonic acid pathway ","* Contraindicated in cases of corneal ulceration in veterinary patients or in cases where active infection (viral, bacterial, fungal) is present
* Can cause a reversible increase in IOP in some patients/species; altered dosing is indicated if IOP increases are significant",$-$$,Pink,Common
Dexamethasone 0.1%,ophthalmic solution,Topical Steroid Anti-inflammatory,"Uveitis,Conjunctivitis,Non-ulcerative Keratitis",q6-24h,"* A commonly used topical corticosteroid for inflammatory diseases of the eye
* While more potent compared to prednisolone acetate, penetrance into the eye is less (especially for the phosphate formulations); can still be used for anterior uveitis however if response is incomplete or partial consider switching to prednisolone acetate
* Has a relative strength of 25 compared to hydrocortisone (1) and prednisolone acetate (4) 
* Dosing is typically based on severity of disease with regular monitoring to assess response
* Can be packaged up with Tobramycin (Tobradex) or Neomycin/Polymixin; stand-alone use is recommended in animals with sensitivity to topical antibiotics (e.g. cats)","* Broad and significant effects on transcription of (up-regulation) anti-inflammatory or (down-regulation) pro-inflammatory genes as well as direct affects on cell mediators and receptors
* Indirectly inhibits arachidonic acid pathway ","* Contraindicated in cases of corneal ulceration in veterinary patients or in cases where active infection (viral, bacterial, fungal) is present
* Can cause a reversible increase in IOP in some patients/species; altered dosing is indicated if IOP increases are significant",$-$$,Pink,Common
Dorzolamide 2%,ophthalmic solution,Topical Glaucoma/Ocular hypotensives,"Primary Glaucoma,Secondary Glaucoma",TID,"* Safe for use in both primary and secondary glaucomas
* Trade name is ""Trusopt""
* Can be used alone or bundled up with Timolol as one drug (Cosopt) in which case dosing is BID (vs TID)","* Carbonic anhydrase inhibitor (CAI)
* Carbonic anhydrase is an enzyme that catalyzes conversion of water to bicarb (HCO3-) and hydrogen ions (H+)
* Inhibition of this process leads to lowered concentrations bicarb that then lower sodium and water outflow (aqueous humor production)","* Can sting after applications due to viscosity and acidity
* Idiosyncratic keratitis has been reported in patients on long-term use with dorzolamide (median time in report was about a year of continued use)
* Dogs with the CAI reaction exhibit marked ulcerative/non-ulcerative corneal neovascularization that was poorly responsive to topical anti-inflammatories
* Clinical signs improved within a few days after halting administration of CAI",$-$$,Orange,Common
Brinzolamide 1%,ophthalmic solution,Topical Glaucoma/Ocular hypotensives,"Primary Glaucoma,Secondary Glaucoma",TID,"* Safe for use in both primary and secondary glaucomas
* Trade name is ""Azopt""
* Is potentially better tolerated than Dorzolamide because it's less acidic
* But poorly studied in veterinary medicine so comparative effect vs dorzolamide is unknown
* Very expensive","* Carbonic anhydrase inhibitor (CAI)
* Carbonic anhydrase is an enzyme that catalyzes conversion of water to bicarb (HCO3-) and hydrogen ions (H+)
* Inhibition of this process leads to lowered concentrations bicarb that then lower sodium and water outflow (***lowers aqueous humor production***)","* Idiosyncratic keratitis has been reported in patients on long-term use with dorzolamide (median time in report was about a year of continued use)
* Dogs with the CAI reaction exhibit marked ulcerative/non-ulcerative corneal neovascularization that was poorly responsive to topical anti-inflammatories
* Clinical signs improved within a few days after halting administration of CAI",$$$,Orange,Uncommon
Timolol 0.5%,ophthalmic solution,Topical Glaucoma/Ocular hypotensives,"Primary Glaucoma,Secondary Glaucoma",BID,"* Comes in a 0.25% solution but has minimal IOP lowering effect in animals, so use 0.5% solution which has a small effect on IOP but can be used for mild cases of ocular hypertension
* Non-selective beta-blocker so use caution in cases of asthma or in patients with cardiac disease
* Combination form with Dorzolamide is also commonly used; trade-named ""Cosopt"" which is easier to say (generics are widely used but it's usually easier to say ""Ko-sopt"" rather than the full name","* Non-selective beta blocker
* Precise mechanism is unknown but suspected to involve cAMP","* Mild systemic absorption is possible and since it's a nonselective beta blocker, it is possible for asthmatic animals to have greater susceptibility to attacks
* Be wary of use in animals with cardiac disease as it has been shown to reduce heart rate (not clinically significant) in normal animals",$,Yellow,Common
